"";"SinS2_contig";"SinS2_start";"SinS2_end";"SinS2_strand"
"ASIC006728";"KI916404";"98576";"101476";"1"
"ASIC006729";"KI916404";"96494";"98123";"-1"
"ASIC006731";"AXCK02026610";"1229";"1860";"-1"
"ASIC006734";"KI916863";"49050";"48143";"-1"
"ASIC006736";"KI916619";"57356";"55240";"-1"
"ASIC006737";"KI916619";"65030";"66504";"-1"
"ASIC006738";"AXCK02023842";"149";"3311";"1"
"ASIC006739";"KI916404";"54557";"56305";"-1"
"ASIC006740";"KI916404";"52208";"54257";"1"
"ASIC006741";"KI916404";"50764";"51685";"-1"
"ASIC006742";"KI916404";"49624";"50674";"1"
"ASIC006744";"KI916404";"48149";"48895";"-1"
"ASIC006745";"KI916398";"231412";"232125";"1"
"ASIC006746";"KI916398";"232865";"235493";"1"
"ASIC006747";"KI916398";"235437";"235811";"1"
"ASIC006751";"AXCK02024637";"1";"1215";"-1"
"ASIC006759";"KI916534";"4908";"5243";"-1"
"ASIC006760";"KI916398";"332110";"332839";"-1"
"ASIC006761";"KI916534";"40276";"40969";"-1"
"ASIC006762";"KI916398";"373705";"374312";"-1"
"ASIC006763";"KI916398";"387328";"387714";"1"
"ASIC025097";"KI916398";"414532";"414725";"-1"
"ASIC006373";"KI916398";"416184";"417000";"-1"
"ASIC006374";"KI916398";"417582";"418589";"1"
"ASIC006375";"KI916398";"419054";"420325";"-1"
"ASIC006376";"KI916398";"421403";"422131";"-1"
"ASIC006377";"KI916398";"422291";"423857";"-1"
"ASIC006378";"KI916398";"427620";"431617";"1"
"ASIC006379";"KI916534";"135372";"137661";"1"
"ASIC006380";"KI916534";"138028";"139245";"-1"
"ASIC006382";"KI916374";"6969";"7655";"-1"
"ASIC006384";"KI916534";"179637";"181384";"-1"
"ASIC006385";"KI916534";"184784";"185805";"-1"
"ASIC006386";"KI916534";"189087";"188656";"-1"
"ASIC006387";"KI916534";"191712";"192799";"-1"
"ASIC006388";"KI918534";"3640";"4101";"1"
"ASIC006389";"KI916374";"46009";"49036";"-1"
"ASIC006390";"KI916374";"50032";"50671";"-1"
"ASIC006392";"KI916770";"56796";"58776";"-1"
"ASIC006393";"KI916770";"61694";"63184";"-1"
"ASIC006395";"KI916770";"63576";"64578";"-1"
"ASIC006396";"KI916770";"66049";"67380";"-1"
"ASIC006397";"KI916770";"68706";"69623";"1"
"ASIC006398";"KI916770";"69747";"70670";"1"
"ASIC006399";"KI916534";"229491";"229961";"1"
"ASIC006400";"KI916534";"232374";"238715";"-1"
"ASIC006407";"AXCK02026660";"220";"1843";"1"
"ASIC006408";"KI916786";"27716";"28282";"1"
"ASIC006409";"KI916374";"168807";"169424";"1"
"ASIC006410";"KI916374";"186865";"187161";"1"
"ASIC006411";"KI917345";"6526";"6702";"1"
"ASIC006413";"KI916374";"296831";"297336";"1"
"ASIC006414";"KI916374";"297513";"299706";"-1"
"ASIC006415";"KI916374";"301178";"302049";"-1"
"ASIC006417";"KI916374";"304207";"304959";"-1"
"ASIC006418";"KI916374";"305338";"307206";"1"
"ASIC006419";"KI916374";"307165";"309727";"-1"
"ASIC006420";"KI916374";"311130";"312047";"-1"
"ASIC006421";"KI916374";"312158";"313291";"1"
"ASIC006422";"KI916374";"313472";"315024";"1"
"ASIC006423";"KI916374";"315854";"318958";"1"
"ASIC006424";"KI916374";"339222";"340615";"-1"
"ASIC006425";"KI916374";"341511";"346253";"1"
"ASIC006426";"KI916374";"350245";"351217";"-1"
"ASIC006428";"KI916374";"352997";"353514";"1"
"ASIC025169";"KI916374";"354409";"354605";"-1"
"ASIC025088";"KI916374";"354409";"354605";"1"
"ASIC006429";"KI916374";"355570";"356004";"1"
"ASIC006430";"KI916374";"358903";"359778";"1"
"ASIC006431";"KI916374";"361044";"361589";"1"
"ASIC006432";"KI916374";"361712";"362173";"-1"
"ASIC006435";"KI917151";"1143";"3893";"1"
"ASIC006436";"AXCK02026543";"1864";"1883";"-1"
"ASIC006439";"KI916522";"292046";"293120";"1"
"ASIC006441";"KI916374";"401135";"403673";"1"
"ASIC006442";"KI916374";"404878";"407817";"1"
"ASIC006444";"KI917151";"44606";"44986";"-1"
"ASIC006445";"KI916522";"244927";"251902";"-1"
"ASIC006447";"KI916374";"452829";"454592";"1"
"ASIC006448";"KI916374";"454790";"455505";"-1"
"ASIC006450";"KI916374";"456341";"457947";"1"
"ASIC006451";"KI917576";"10997";"11389";"1"
"ASIC006452";"KI917576";"12264";"13577";"1"
"ASIC006453";"KI916522";"210145";"211206";"1"
"ASIC006456";"KI916374";"494010";"494707";"1"
"ASIC006461";"KI917384";"6909";"7310";"-1"
"ASIC006462";"KI917384";"14525";"15142";"-1"
"ASIC006463";"KI916522";"112659";"114570";"1"
"ASIC006464";"KI916522";"104011";"108240";"1"
"ASIC006465";"KI916522";"94829";"97768";"1"
"ASIC006467";"KI916415";"46668";"49308";"1"
"ASIC006468";"KI916415";"50951";"50459";"-1"
"ASIC006475";"KI916415";"143673";"144285";"1"
"ASIC006477";"KI916577";"87453";"94449";"1"
"ASIC006481";"KI916577";"130803";"131160";"-1"
"ASIC006484";"KI916577";"136044";"141197";"1"
"ASIC006485";"KI916577";"145630";"146083";"1"
"ASIC006487";"KI916577";"185619";"186859";"-1"
"ASIC006489";"KI916415";"300484";"301372";"-1"
"ASIC006490";"KI916415";"306580";"306598";"1"
"ASIC006495";"KI916415";"351393";"351680";"1"
"ASIC006498";"KI917189";"38851";"38949";"1"
"ASIC006499";"KI916415";"389202";"391495";"-1"
"ASIC006500";"KI916415";"392117";"392307";"1"
"ASIC006501";"KI916358";"6275";"7178";"-1"
"ASIC006502";"KI916358";"41116";"44378";"-1"
"ASIC006503";"KI916358";"44821";"46703";"-1"
"ASIC006504";"KI916358";"105875";"87220";"-1"
"ASIC006506";"KI916358";"107421";"107832";"-1"
"ASIC006508";"KI916456";"246636";"248854";"1"
"ASIC006509";"KI916456";"244934";"246176";"-1"
"ASIC006510";"KI916456";"234929";"241506";"-1"
"ASIC006512";"KI916358";"141086";"141694";"1"
"ASIC006513";"KI916358";"142227";"144192";"-1"
"ASIC006514";"KI916358";"147443";"147874";"-1"
"ASIC006518";"KI916456";"201287";"202372";"1"
"ASIC006519";"KI916456";"199066";"200121";"1"
"ASIC006520";"KI916456";"196886";"198760";"1"
"ASIC006521";"KI916456";"195591";"196327";"1"
"ASIC006522";"KI916290";"720249";"720722";"1"
"ASIC006523";"KI916358";"189026";"189404";"1"
"ASIC006524";"KI916290";"663228";"663746";"1"
"ASIC006525";"KI916290";"655459";"655573";"-1"
"ASIC006526";"KI916456";"129052";"128743";"-1"
"ASIC006528";"KI916456";"123682";"124404";"-1"
"ASIC006529";"KI916456";"120072";"123327";"1"
"ASIC006530";"KI916290";"616893";"617201";"-1"
"ASIC006531";"KI916290";"615550";"616347";"1"
"ASIC006532";"KI916290";"607649";"611003";"1"
"ASIC006533";"KI916358";"272568";"276609";"-1"
"ASIC006535";"KI916456";"86208";"88828";"1"
"ASIC006536";"KI916912";"74977";"75424";"1"
"ASIC006537";"KI916912";"64386";"64742";"1"
"ASIC006541";"KI916358";"363556";"363924";"-1"
"ASIC006542";"KI916358";"364361";"365224";"-1"
"ASIC006546";"KI916290";"497161";"498236";"1"
"ASIC006547";"KI916290";"493329";"496340";"1"
"ASIC006548";"KI916290";"491353";"492049";"-1"
"ASIC006550";"KI916358";"406870";"407243";"-1"
"ASIC006552";"KI916524";"208183";"208978";"-1"
"ASIC006556";"KI916524";"59494";"59659";"-1"
"ASIC006557";"KI916524";"57348";"58206";"1"
"ASIC006558";"KI918422";"6388";"6846";"-1"
"ASIC006561";"KI916524";"11404";"3653";"-1"
"ASIC006563";"KI916237";"1092093";"1093115";"1"
"ASIC006564";"KI916391";"338705";"338990";"1"
"ASIC006565";"KI916391";"332031";"335161";"-1"
"ASIC006567";"KI916237";"1021409";"1027068";"1"
"ASIC006573";"KI916391";"241887";"243628";"-1"
"ASIC006574";"KI916391";"196090";"196821";"-1"
"ASIC006575";"KI916391";"187725";"188705";"1"
"ASIC006576";"KI916725";"98379";"99592";"1"
"ASIC006577";"KI916725";"94493";"94777";"-1"
"ASIC006579";"KI916237";"891739";"892129";"-1"
"ASIC006581";"KI916725";"52234";"53854";"1"
"ASIC006583";"KI916725";"50745";"51703";"-1"
"ASIC006587";"KI916237";"854112";"854879";"-1"
"ASIC006592";"KI916391";"41788";"42850";"-1"
"ASIC006596";"KI917944";"382";"796";"1"
"ASIC006600";"KI916906";"56071";"57370";"1"
"ASIC006604";"KI916750";"1";"1747";"1"
"ASIC006606";"KI916750";"2101";"3574";"-1"
"ASIC006607";"KI916431";"153070";"154183";"1"
"ASIC006608";"KI916431";"154244";"155863";"-1"
"ASIC006609";"KI916431";"156320";"157266";"1"
"ASIC006610";"KI916431";"167226";"167954";"-1"
"ASIC006612";"KI916237";"580969";"581289";"1"
"ASIC006613";"KI916750";"35925";"36537";"-1"
"ASIC006615";"KI916237";"495621";"495972";"1"
"ASIC006621";"AXCK02029688";"436";"791";"1"
"ASIC006622";"KI916831";"99816";"100743";"1"
"ASIC006623";"KI916237";"355827";"356108";"-1"
"ASIC006624";"KI916237";"340971";"342303";"-1"
"ASIC006625";"KI916237";"337439";"339605";"1"
"ASIC006629";"AXCK02026573";"1692";"1874";"-1"
"ASIC006630";"AXCK02024202";"1721";"2416";"-1"
"ASIC006631";"KI916237";"292593";"294055";"1"
"ASIC006632";"KI916793";"51952";"52345";"1"
"ASIC006633";"KI916237";"248491";"248883";"1"
"ASIC006635";"KI916237";"243912";"245915";"1"
"ASIC025383";"KI916237";"243568";"243761";"1"
"ASIC006636";"KI916793";"108847";"95951";"-1"
"ASIC025010";"KI916237";"198780";"198972";"1"
"ASIC025432";"KI916237";"205358";"205551";"-1"
"ASIC006639";"KI916237";"124621";"125529";"1"
"ASIC006640";"KI916237";"122176";"122723";"1"
"ASIC006641";"KI916302";"88329";"88936";"-1"
"ASIC006644";"KI916302";"179395";"179744";"-1"
"ASIC006645";"KI916302";"182535";"183760";"1"
"ASIC006646";"KI916302";"184071";"185267";"-1"
"ASIC006650";"KI917242";"1705";"2217";"-1"
"ASIC006651";"KI916302";"233866";"235627";"1"
"ASIC006652";"KI916302";"250563";"251386";"-1"
"ASIC006653";"KI916302";"272449";"273096";"-1"
"ASIC006654";"KI916302";"274674";"275547";"1"
"ASIC006655";"KI916302";"277657";"279975";"1"
"ASIC006656";"KI916302";"281200";"281629";"1"
"ASIC006657";"AXCK02028254";"289";"1444";"-1"
"ASIC006658";"KI916302";"300566";"301281";"1"
"ASIC006659";"KI916302";"301586";"304530";"-1"
"ASIC006665";"KI917796";"9320";"11060";"1"
"ASIC006667";"KI916302";"360031";"362730";"-1"
"ASIC006668";"KI916302";"363519";"365669";"1"
"ASIC006669";"KI916302";"365851";"367124";"-1"
"ASIC006670";"KI916302";"369603";"374797";"-1"
"ASIC006673";"KI916302";"398965";"400187";"-1"
"ASIC006674";"KI916302";"400692";"402278";"-1"
"ASIC006675";"KI916302";"402426";"403403";"-1"
"ASIC006677";"AXCK02030153";"1";"1131";"1"
"ASIC006678";"KI916302";"431805";"435787";"1"
"ASIC006679";"KI916302";"446484";"447898";"-1"
"ASIC006680";"KI916306";"697683";"698070";"1"
"ASIC006681";"KI916306";"697139";"697533";"1"
"ASIC006683";"KI916302";"488945";"489419";"-1"
"ASIC006684";"KI916306";"647086";"647164";"-1"
"ASIC006686";"KI917638";"5146";"5309";"-1"
"ASIC006687";"KI916302";"695665";"696045";"-1"
"ASIC006688";"KI916306";"464731";"465313";"1"
"ASIC006689";"KI916306";"451279";"453679";"1"
"ASIC006690";"KI916306";"449682";"451152";"1"
"ASIC006691";"KI916306";"447907";"449046";"-1"
"ASIC006694";"KI916306";"432775";"433694";"1"
"ASIC006696";"KI916306";"425702";"426571";"1"
"ASIC006697";"KI916306";"424574";"425424";"1"
"ASIC006698";"KI916306";"423012";"423876";"1"
"ASIC014623";"KI918028";"1";"325";"1"
"ASIC014634";"KI916585";"226977";"228796";"1"
"ASIC014645";"KI916585";"226302";"226774";"-1"
"ASIC014656";"KI916585";"225198";"226246";"-1"
"ASIC014667";"KI916585";"218761";"219229";"1"
"ASIC014545";"KI916585";"173446";"173985";"1"
"ASIC014556";"KI916585";"166597";"167226";"-1"
"ASIC014567";"KI916585";"166120";"166649";"-1"
"ASIC014578";"KI916585";"161352";"161735";"1"
"ASIC014585";"KI916585";"157817";"158501";"-1"
"ASIC025401";"KI916585";"156743";"156941";"-1"
"ASIC014586";"KI916585";"147038";"149006";"-1"
"ASIC014587";"KI916585";"142708";"145565";"1"
"ASIC014588";"KI916585";"137941";"138234";"-1"
"ASIC014589";"KI916585";"133845";"135976";"1"
"ASIC014591";"KI916455";"2972";"14843";"1"
"ASIC014593";"KI916455";"49559";"49880";"-1"
"ASIC014594";"KI916455";"59080";"59621";"-1"
"ASIC014595";"KI916585";"49944";"50676";"1"
"ASIC014596";"KI918415";"2";"134";"-1"
"ASIC014599";"AXCK02026279";"1121";"1727";"1"
"ASIC014600";"KI917693";"552";"1544";"-1"
"ASIC014602";"KI916455";"215197";"215807";"1"
"ASIC014606";"KI916488";"30383";"30816";"-1"
"ASIC014607";"KI916455";"257799";"258721";"1"
"ASIC014608";"KI916455";"261402";"262664";"1"
"ASIC014609";"KI916455";"262998";"265130";"-1"
"ASIC014610";"KI916455";"266025";"269814";"1"
"ASIC014611";"KI916455";"269881";"271341";"-1"
"ASIC014613";"KI916455";"271584";"272165";"1"
"ASIC014614";"KI916455";"273378";"275883";"-1"
"ASIC014615";"KI916455";"276527";"277203";"1"
"ASIC014616";"KI916455";"277374";"277977";"-1"
"ASIC014617";"KI916455";"278769";"280651";"-1"
"ASIC014618";"KI916488";"84867";"84432";"-1"
"ASIC014619";"KI916488";"87062";"89403";"1"
"ASIC014620";"KI916488";"90205";"92551";"1"
"ASIC014621";"KI916488";"94869";"96635";"-1"
"ASIC014622";"KI916455";"304137";"310123";"-1"
"ASIC014624";"KI916455";"348675";"358793";"1"
"ASIC014627";"KI916979";"59197";"61509";"-1"
"ASIC014630";"KI916488";"188214";"188153";"-1"
"ASIC014631";"KI916488";"193428";"194694";"-1"
"ASIC014632";"KI916488";"194988";"196590";"-1"
"ASIC014633";"KI916488";"196589";"197021";"-1"
"ASIC014635";"KI916488";"197452";"199661";"-1"
"ASIC014636";"KI916488";"202155";"202732";"-1"
"ASIC014637";"KI916488";"205951";"206262";"-1"
"ASIC014639";"AXCK02025119";"1";"145";"-1"
"ASIC014640";"AXCK02027447";"1578";"1611";"-1"
"ASIC014642";"KI916488";"292031";"293374";"1"
"ASIC014643";"KI916488";"293410";"294744";"-1"
"ASIC014646";"KI916869";"39746";"40033";"-1"
"ASIC014647";"KI916869";"38040";"39703";"-1"
"ASIC014648";"KI916680";"109228";"113695";"-1"
"ASIC014649";"KI916488";"327159";"329537";"-1"
"ASIC014650";"KI916488";"330617";"332641";"1"
"ASIC014651";"KI916488";"336395";"336736";"1"
"ASIC014657";"KI916270";"80908";"82394";"1"
"ASIC014658";"AXCK02028244";"541";"1289";"-1"
"ASIC014660";"AXCK02018675";"13291";"13789";"1"
"ASIC014663";"KI916270";"151923";"153724";"1"
"ASIC014664";"KI916270";"159347";"159626";"1"
"ASIC014665";"KI916270";"171949";"173999";"1"
"ASIC014666";"AXCK02021956";"176";"5187";"-1"
"ASIC014668";"AXCK02024799";"375";"2007";"1"
"ASIC014669";"AXCK02024461";"2341";"2685";"1"
"ASIC014670";"KI916270";"219966";"220356";"1"
"ASIC014671";"KI916270";"235559";"235972";"1"
"ASIC014672";"KI916270";"237792";"238097";"1"
"ASIC014673";"KI916270";"238669";"242984";"-1"
"ASIC014674";"KI916270";"259770";"260132";"-1"
"ASIC014675";"KI916270";"268241";"268709";"1"
"ASIC014676";"KI916270";"276443";"276350";"-1"
"ASIC014536";"KI916270";"285257";"286479";"1"
"ASIC014537";"KI916270";"287539";"289104";"1"
"ASIC014538";"KI916270";"291463";"295013";"-1"
"ASIC014539";"KI916270";"295157";"298615";"-1"
"ASIC014540";"KI916270";"299097";"305105";"-1"
"ASIC014541";"KI916270";"305371";"311699";"1"
"ASIC014542";"KI916270";"311854";"313308";"-1"
"ASIC014543";"KI916270";"313932";"315413";"1"
"ASIC014544";"KI916270";"315728";"318552";"-1"
"ASIC014546";"KI916270";"318916";"320163";"1"
"ASIC014547";"KI916270";"320375";"321525";"-1"
"ASIC014548";"KI916270";"322534";"326469";"-1"
"ASIC014549";"KI916270";"326753";"327795";"1"
"ASIC014550";"KI916270";"329580";"331072";"1"
"ASIC014551";"KI916270";"331087";"331550";"-1"
"ASIC014552";"KI916270";"335536";"338265";"1"
"ASIC014553";"KI916270";"355784";"346221";"-1"
"ASIC014554";"KI916270";"358119";"358442";"1"
"ASIC014555";"KI916270";"365301";"366147";"-1"
"ASIC014557";"KI916270";"376868";"377476";"-1"
"ASIC014558";"KI916270";"379319";"379895";"-1"
"ASIC014559";"KI916270";"399336";"400026";"-1"
"ASIC014560";"KI916270";"412069";"412387";"-1"
"ASIC014561";"KI916270";"420559";"421052";"-1"
"ASIC014562";"KI916270";"427517";"427899";"1"
"ASIC014563";"KI916270";"431114";"432359";"1"
"ASIC014564";"KI916270";"445512";"445961";"-1"
"ASIC014565";"KI916270";"455181";"455936";"1"
"ASIC014566";"KI916270";"462211";"462568";"1"
"ASIC014568";"KI916270";"491646";"492313";"1"
"ASIC014569";"KI916270";"496090";"496479";"1"
"ASIC014570";"KI916270";"517490";"517993";"-1"
"ASIC014571";"KI916270";"526730";"527501";"-1"
"ASIC014572";"KI916270";"550011";"550696";"1"
"ASIC014573";"KI916270";"552799";"553290";"1"
"ASIC014574";"KI916270";"553288";"553801";"1"
"ASIC014575";"KI916270";"571185";"566072";"-1"
"ASIC014576";"KI916270";"581873";"582955";"-1"
"ASIC014577";"KI916270";"583789";"584652";"-1"
"ASIC014579";"KI916270";"585244";"586742";"-1"
"ASIC014580";"KI916270";"587313";"588826";"1"
"ASIC014581";"KI916270";"589487";"591904";"1"
"ASIC014582";"KI916270";"591902";"593160";"-1"
"ASIC014583";"KI916270";"593219";"594507";"-1"
"ASIC014584";"KI916270";"594836";"596287";"1"
"ASIC013853";"AXCK02029573";"1053";"1220";"1"
"ASIC025256";"KI916371";"445313";"445727";"1"
"ASIC013872";"KI916371";"453960";"454002";"-1"
"ASIC013873";"KI916525";"359";"945";"-1"
"ASIC013874";"KI916525";"6499";"7613";"-1"
"ASIC013832";"KI916525";"13758";"14906";"1"
"ASIC013834";"KI918053";"7467";"734";"-1"
"ASIC013835";"AXCK02026515";"358";"1598";"1"
"ASIC013836";"KI916525";"50321";"50765";"1"
"ASIC013838";"KI916525";"57271";"57977";"1"
"ASIC013840";"KI916371";"519966";"524985";"1"
"ASIC013841";"KI916371";"525472";"527127";"-1"
"ASIC025312";"KI916525";"86335";"86526";"1"
"ASIC025163";"KI916525";"86775";"86960";"1"
"ASIC013843";"KI916525";"87158";"88590";"-1"
"ASIC013844";"AXCK02023573";"463";"1292";"-1"
"ASIC013845";"AXCK02023573";"2371";"3836";"-1"
"ASIC025273";"KI916525";"90543";"90734";"-1"
"ASIC013846";"KI916525";"93781";"98246";"1"
"ASIC013848";"KI916551";"225982";"226381";"-1"
"ASIC013849";"KI916551";"225506";"225880";"-1"
"ASIC013851";"KI916525";"133140";"133606";"1"
"ASIC013852";"KI916525";"134757";"135289";"1"
"ASIC013854";"KI916551";"174835";"175091";"1"
"ASIC013855";"KI916551";"124069";"135334";"-1"
"ASIC013859";"KI916525";"256261";"256636";"1"
"ASIC013861";"KI917538";"869";"1366";"1"
"ASIC013865";"KI916551";"45064";"45406";"1"
"ASIC013866";"KI917100";"1141";"1470";"1"
"ASIC013867";"KI917100";"6902";"7214";"1"
"ASIC013868";"KI917100";"8775";"9258";"1"
"ASIC017245";"KI916388";"380798";"381306";"1"
"ASIC017256";"AXCK02029258";"1212";"1270";"1"
"ASIC017267";"KI916605";"212914";"214119";"1"
"ASIC017278";"KI916402";"89935";"90333";"1"
"ASIC017289";"KI916388";"410965";"411303";"1"
"ASIC017300";"KI916388";"416946";"417414";"-1"
"ASIC017311";"KI916402";"138319";"145152";"1"
"ASIC017172";"KI916402";"175837";"177762";"1"
"ASIC017183";"KI916402";"181071";"181961";"-1"
"ASIC017194";"KI916402";"182294";"183424";"-1"
"ASIC017205";"KI916402";"183892";"190038";"1"
"ASIC017216";"KI916402";"190958";"191220";"1"
"ASIC017227";"KI916388";"487962";"488330";"-1"
"ASIC017242";"KI917862";"6045";"6342";"1"
"ASIC017243";"KI917862";"6690";"7096";"1"
"ASIC017244";"KI916402";"219974";"221513";"1"
"ASIC017247";"KI916402";"227820";"229773";"-1"
"ASIC017248";"KI916402";"231992";"239404";"1"
"ASIC017249";"KI916402";"243546";"244993";"-1"
"ASIC017250";"KI916402";"245856";"256330";"1"
"ASIC017251";"KI916402";"258699";"260197";"-1"
"ASIC017252";"KI916402";"260557";"261172";"1"
"ASIC017253";"KI916402";"261871";"265316";"-1"
"ASIC017254";"KI916402";"293003";"293500";"1"
"ASIC017258";"KI917833";"650";"667";"-1"
"ASIC017259";"KI916372";"451259";"451811";"1"
"ASIC017260";"KI916402";"344320";"344661";"-1"
"ASIC017261";"KI916402";"345529";"347774";"-1"
"ASIC017262";"KI916402";"350994";"351686";"1"
"ASIC017263";"KI916402";"353590";"353991";"-1"
"ASIC017264";"KI916402";"356225";"357293";"1"
"ASIC017265";"KI916402";"360858";"364687";"-1"
"ASIC017266";"KI916402";"365846";"366178";"-1"
"ASIC017269";"KI916372";"412641";"414202";"1"
"ASIC017270";"KI916372";"409136";"411934";"-1"
"ASIC017271";"KI916372";"407627";"408799";"1"
"ASIC025219";"KI916372";"407174";"407362";"-1"
"ASIC017272";"KI916372";"405755";"406976";"1"
"ASIC017276";"AXCK02025838";"2126";"2174";"1"
"ASIC017277";"KI916372";"327714";"328807";"-1"
"ASIC017280";"KI916372";"250125";"250981";"1"
"ASIC017281";"KI916372";"249992";"250124";"1"
"ASIC017282";"KI916439";"14888";"15841";"1"
"ASIC017283";"KI916439";"22992";"23309";"-1"
"ASIC017284";"KI916439";"25803";"26150";"-1"
"ASIC017285";"KI916439";"58320";"58601";"-1"
"ASIC017286";"KI916439";"60903";"61277";"-1"
"ASIC017287";"KI916777";"80906";"81762";"-1"
"ASIC017288";"KI916777";"71150";"72645";"-1"
"ASIC017291";"KI916439";"117633";"118628";"1"
"ASIC017293";"KI916372";"121252";"122970";"1"
"ASIC017294";"KI916372";"110003";"111716";"1"
"ASIC017296";"KI916439";"156575";"157335";"-1"
"ASIC017298";"KI916372";"63961";"63805";"-1"
"ASIC017299";"KI916439";"187690";"187072";"-1"
"ASIC017301";"KI916439";"200573";"203200";"1"
"ASIC017305";"KI916439";"282689";"283223";"-1"
"ASIC017306";"KI916807";"103038";"103556";"1"
"ASIC017308";"KI918315";"5903";"6140";"-1"
"ASIC017310";"KI916439";"360085";"360420";"-1"
"ASIC017313";"KI919034";"575";"451";"-1"
"ASIC017314";"KI916515";"92870";"93409";"-1"
"ASIC017316";"KI916515";"140493";"141695";"-1"
"ASIC017317";"KI916515";"144571";"147897";"-1"
"ASIC017318";"KI916515";"151488";"152064";"-1"
"ASIC017320";"KI916515";"172916";"172988";"1"
"ASIC017324";"KI916515";"255986";"257562";"1"
"ASIC017328";"KI916458";"153209";"153945";"-1"
"ASIC017330";"KI916238";"1081714";"1082318";"-1"
"ASIC017331";"KI916238";"1080816";"1081231";"-1"
"ASIC017173";"KI916355";"552476";"561889";"1"
"ASIC017175";"KI916458";"233361";"234431";"1"
"ASIC017176";"KI916458";"234678";"235399";"1"
"ASIC017178";"KI916238";"1046514";"1046925";"1"
"ASIC017179";"KI916238";"1041238";"1043679";"1"
"ASIC017180";"KI916238";"1039529";"1039939";"1"
"ASIC017181";"KI916238";"1039152";"1039571";"1"
"ASIC017184";"KI916355";"517305";"520899";"1"
"ASIC017186";"KI916458";"286998";"288054";"1"
"ASIC017187";"KI916458";"275367";"276274";"-1"
"ASIC017188";"KI916238";"1001903";"1006586";"-1"
"ASIC017189";"KI916355";"478138";"480473";"-1"
"ASIC017190";"KI916355";"470054";"469730";"-1"
"ASIC017192";"KI916238";"959830";"961495";"1"
"ASIC017193";"KI916238";"957347";"959002";"-1"
"ASIC017197";"AXCK02025558";"1213";"2313";"1"
"ASIC017198";"KI916355";"425244";"427907";"1"
"ASIC017199";"KI916355";"419914";"419853";"-1"
"ASIC017202";"KI916458";"377190";"378760";"1"
"ASIC017203";"KI916458";"378910";"379729";"1"
"ASIC017207";"KI916355";"315129";"315444";"-1"
"ASIC017209";"KI916238";"840269";"840730";"1"
"ASIC017210";"KI916238";"839239";"839773";"1"
"ASIC017211";"KI916238";"807458";"807897";"1"
"ASIC017213";"KI916355";"242930";"243703";"-1"
"ASIC017214";"KI916238";"774363";"775345";"-1"
"ASIC017215";"KI916238";"766864";"768765";"-1"
"ASIC017218";"KI916355";"186882";"186829";"-1"
"ASIC017219";"KI916238";"724169";"725105";"-1"
"ASIC017221";"KI916238";"659486";"661187";"1"
"ASIC017225";"KI916355";"59576";"60802";"-1"
"ASIC017226";"KI916355";"56798";"59501";"1"
"ASIC017228";"KI916355";"50604";"56865";"1"
"ASIC017229";"KI917211";"38583";"40529";"-1"
"ASIC017230";"KI916238";"582912";"584316";"-1"
"ASIC017231";"KI916238";"580237";"581350";"1"
"ASIC017232";"KI916238";"575721";"577427";"1"
"ASIC017234";"KI916238";"536300";"537769";"-1"
"ASIC017235";"KI916238";"529949";"532741";"1"
"ASIC025064";"KI916610";"52840";"53051";"-1"
"ASIC025441";"KI916610";"52843";"53054";"1"
"ASIC017236";"KI916238";"449994";"456039";"1"
"ASIC017237";"KI916238";"419202";"419568";"-1"
"ASIC017239";"KI916549";"44717";"45264";"1"
"ASIC017240";"KI916610";"141093";"141628";"-1"
"ASIC022003";"KI916238";"330796";"331284";"-1"
"ASIC022066";"KI916549";"122424";"122710";"1"
"ASIC022077";"AXCK02025099";"1528";"1951";"-1"
"ASIC022088";"KI916238";"289906";"290548";"-1"
"ASIC022099";"KI916238";"287690";"287981";"-1"
"ASIC022121";"KI916292";"746096";"747288";"-1"
"ASIC022132";"KI916292";"742468";"744042";"1"
"ASIC022143";"KI916238";"252010";"254144";"1"
"ASIC022004";"KI916238";"250078";"250799";"-1"
"ASIC022015";"KI916238";"242513";"242785";"1"
"ASIC022037";"KI916238";"195818";"196456";"-1"
"ASIC022048";"AXCK02026665";"1";"1842";"1"
"ASIC022062";"KI916238";"160166";"164000";"-1"
"ASIC022063";"KI916238";"138250";"138819";"-1"
"ASIC022064";"KI916238";"135403";"137760";"1"
"ASIC022065";"KI916292";"624113";"627035";"1"
"ASIC022067";"KI916292";"571721";"573955";"-1"
"ASIC022068";"KI916292";"569283";"569738";"-1"
"ASIC022069";"AXCK02028323";"1008";"1378";"-1"
"ASIC022070";"KI916238";"56475";"52234";"-1"
"ASIC022072";"KI916292";"526743";"527069";"1"
"ASIC022074";"KI916292";"483839";"484344";"-1"
"ASIC022075";"KI916292";"478967";"474975";"-1"
"ASIC022076";"KI916292";"470769";"473709";"1"
"ASIC022078";"KI916292";"464255";"468455";"-1"
"ASIC022080";"KI916292";"440272";"441689";"1"
"ASIC022081";"KI916292";"439586";"440275";"1"
"ASIC022082";"KI916292";"435373";"436360";"1"
"ASIC022084";"KI916292";"276540";"276905";"-1"
"ASIC022085";"KI916292";"276282";"276596";"-1"
"ASIC022086";"KI916292";"270038";"270373";"1"
"ASIC022087";"KI916292";"268865";"269193";"1"
"ASIC022089";"KI916552";"10049";"10522";"1"
"ASIC022090";"KI918084";"616";"740";"-1"
