"";"AsinS2_geneID";"AsinC2_geneID"
"ASIC014586";"ASIS023313";"ASIC014586"
"ASIC014587";"ASIS022049";"ASIC014587"
"ASIC014588";"ASIS022049";"ASIC014588"
"ASIC0145891";"ASIS006578";"ASIC014589"
"ASIC0145892";"ASIS007927";"ASIC014589"
"ASIC014591";"ASIS020710";"ASIC014591"
"ASIC014600";"ASIS008116";"ASIC014600"
"ASIC014607";"ASIS010669";"ASIC014607"
"ASIC014608";"ASIS004909";"ASIC014608"
"ASIC014609";"ASIS019746";"ASIC014609"
"ASIC014610";"ASIS001379";"ASIC014610"
"ASIC014611";"ASIS000605";"ASIC014611"
"ASIC014613";"ASIS001764";"ASIC014613"
"ASIC0146141";"ASIS005687";"ASIC014614"
"ASIC0146142";"ASIS006750";"ASIC014614"
"ASIC014615";"ASIS002689";"ASIC014615"
"ASIC014616";"ASIS008419";"ASIC014616"
"ASIC014617";"ASIS011014";"ASIC014617"
"ASIC014619";"ASIS004856";"ASIC014619"
"ASIC014620";"ASIS009435";"ASIC014620"
"ASIC014621";"ASIS015546";"ASIC014621"
"ASIC0146221";"ASIS006716";"ASIC014622"
"ASIC0146222";"ASIS018286";"ASIC014622"
"ASIC014624";"ASIS021871";"ASIC014624"
"ASIC014627";"ASIS012055";"ASIC014627"
"ASIC014631";"ASIS015049";"ASIC014631"
"ASIC014632";"ASIS005462";"ASIC014632"
"ASIC014633";"ASIS005462";"ASIC014633"
"ASIC014635";"ASIS019337";"ASIC014635"
"ASIC014642";"ASIS018784";"ASIC014642"
"ASIC014643";"ASIS004075";"ASIC014643"
"ASIC014646";"ASIS012485";"ASIC014646"
"ASIC014647";"ASIS012485";"ASIC014647"
"ASIC014648";"ASIS008987";"ASIC014648"
"ASIC014649";"ASIS014477";"ASIC014649"
"ASIC014650";"ASIS005416";"ASIC014650"
"ASIC014657";"ASIS023436";"ASIC014657"
"ASIC014658";"ASIS003461";"ASIC014658"
"ASIC014665";"ASIS010590";"ASIC014665"
"ASIC0146661";"ASIS001447";"ASIC014666"
"ASIC0146662";"ASIS014444";"ASIC014666"
"ASIC014668";"ASIS014473";"ASIC014668"
"ASIC014671";"ASIS018408";"ASIC014671"
"ASIC014673";"ASIS007450";"ASIC014673"
"ASIC014536";"ASIS003691";"ASIC014536"
"ASIC014537";"ASIS004548";"ASIC014537"
"ASIC014538";"ASIS006199";"ASIC014538"
"ASIC014539";"ASIS006199";"ASIC014539"
"ASIC014540";"ASIS006199";"ASIC014540"
"ASIC0145411";"ASIS006199";"ASIC014541"
"ASIC0145412";"ASIS006429";"ASIC014541"
"ASIC0145421";"ASIS006429";"ASIC014542"
"ASIC0145422";"ASIS006494";"ASIC014542"
"ASIC014543";"ASIS017522";"ASIC014543"
"ASIC014544";"ASIS020634";"ASIC014544"
"ASIC014546";"ASIS018318";"ASIC014546"
"ASIC014547";"ASIS021313";"ASIC014547"
"ASIC014548";"ASIS003155";"ASIC014548"
"ASIC0145491";"ASIS002590";"ASIC014549"
"ASIC0145492";"ASIS003155";"ASIC014549"
"ASIC0145501";"ASIS002590";"ASIC014550"
"ASIC0145502";"ASIS003155";"ASIC014550"
"ASIC0145511";"ASIS002590";"ASIC014551"
"ASIC0145512";"ASIS003155";"ASIC014551"
"ASIC014552";"ASIS019892";"ASIC014552"
"ASIC014554";"ASIS011158";"ASIC014554"
"ASIC014559";"ASIS012341";"ASIC014559"
"ASIC014563";"ASIS004529";"ASIC014563"
"ASIC014576";"ASIS013091";"ASIC014576"
"ASIC014577";"ASIS003481";"ASIC014577"
"ASIC014579";"ASIS022457";"ASIC014579"
"ASIC014580";"ASIS006038";"ASIC014580"
"ASIC014581";"ASIS006038";"ASIC014581"
"ASIC014582";"ASIS006038";"ASIC014582"
"ASIC014583";"ASIS018356";"ASIC014583"
"ASIC0145841";"ASIS018356";"ASIC014584"
"ASIC0145842";"ASIS019581";"ASIC014584"
"ASIC025256";"ASIS023959";"ASIC025256"
"ASIC013832";"ASIS019069";"ASIC013832"
"ASIC013835";"ASIS019455";"ASIC013835"
"ASIC0138401";"ASIS009468";"ASIC013840"
"ASIC0138402";"ASIS013377";"ASIC013840"
"ASIC013841";"ASIS015750";"ASIC013841"
"ASIC025312";"ASIS023882";"ASIC025312"
"ASIC025163";"ASIS024287";"ASIC025163"
"ASIC025273";"ASIS024006";"ASIC025273"
"ASIC017172";"ASIS008869";"ASIC017172"
"ASIC017183";"ASIS003802";"ASIC017183"
"ASIC017194";"ASIS023736";"ASIC017194"
"ASIC017205";"ASIS016532";"ASIC017205"
"ASIC017244";"ASIS017254";"ASIC017244"
"ASIC017247";"ASIS014006";"ASIC017247"
"ASIC017248";"ASIS013160";"ASIC017248"
"ASIC017249";"ASIS011205";"ASIC017249"
"ASIC017250";"ASIS000359";"ASIC017250"
"ASIC017252";"ASIS021550";"ASIC017252"
"ASIC017253";"ASIS015585";"ASIC017253"
"ASIC017259";"ASIS004793";"ASIC017259"
"ASIC017260";"ASIS019509";"ASIC017260"
"ASIC017261";"ASIS011901";"ASIC017261"
"ASIC017262";"ASIS015554";"ASIC017262"
"ASIC017263";"ASIS015554";"ASIC017263"
"ASIC017264";"ASIS021628";"ASIC017264"
"ASIC017265";"ASIS017172";"ASIC017265"
"ASIC017269";"ASIS019091";"ASIC017269"
"ASIC017270";"ASIS023633";"ASIC017270"
"ASIC017271";"ASIS015445";"ASIC017271"
"ASIC025219";"ASIS023896";"ASIC025219"
"ASIC017272";"ASIS021461";"ASIC017272"
"ASIC017277";"ASIS011572";"ASIC017277"
"ASIC017280";"ASIS002663";"ASIC017280"
"ASIC017281";"ASIS002663";"ASIC017281"
"ASIC017293";"ASIS013970";"ASIC017293"
"ASIC017294";"ASIS009795";"ASIC017294"
"ASIC017296";"ASIS014279";"ASIC017296"
"ASIC017301";"ASIS019789";"ASIC017301"
"ASIC017316";"ASIS009169";"ASIC017316"
"ASIC017317";"ASIS009169";"ASIC017317"
"ASIC017318";"ASIS009169";"ASIC017318"
"ASIC017324";"ASIS020925";"ASIC017324"
"ASIC017173";"ASIS000394";"ASIC017173"
"ASIC017175";"ASIS020122";"ASIC017175"
"ASIC017176";"ASIS020122";"ASIC017176"
"ASIC017180";"ASIS018157";"ASIC017180"
"ASIC017181";"ASIS018157";"ASIC017181"
"ASIC017186";"ASIS017388";"ASIC017186"
"ASIC017187";"ASIS011113";"ASIC017187"
"ASIC017189";"ASIS013942";"ASIC017189"
"ASIC017192";"ASIS014921";"ASIC017192"
"ASIC017193";"ASIS023161";"ASIC017193"
"ASIC017197";"ASIS023052";"ASIC017197"
"ASIC017198";"ASIS000033";"ASIC017198"
"ASIC017202";"ASIS020075";"ASIC017202"
"ASIC017203";"ASIS020075";"ASIC017203"
"ASIC017209";"ASIS006235";"ASIC017209"
"ASIC017221";"ASIS020352";"ASIC017221"
"ASIC017225";"ASIS001035";"ASIC017225"
"ASIC017228";"ASIS005529";"ASIC017228"
"ASIC017230";"ASIS002945";"ASIC017230"
"ASIC017231";"ASIS006306";"ASIC017231"
"ASIC017232";"ASIS011755";"ASIC017232"
"ASIC017234";"ASIS009881";"ASIC017234"
"ASIC017235";"ASIS004507";"ASIC017235"
"ASIC0250641";"ASIS023906";"ASIC025064"
"ASIC0250642";"ASIS024101";"ASIC025064"
"ASIC0254411";"ASIS023906";"ASIC025441"
"ASIC0254412";"ASIS024101";"ASIC025441"
"ASIC022121";"ASIS016165";"ASIC022121"
"ASIC022143";"ASIS015708";"ASIC022143"
"ASIC022004";"ASIS004322";"ASIC022004"
"ASIC022062";"ASIS004616";"ASIC022062"
"ASIC022064";"ASIS016349";"ASIC022064"
"ASIC022076";"ASIS001336";"ASIC022076"
"ASIC022078";"ASIS017627";"ASIC022078"
"ASIC022080";"ASIS017961";"ASIC022080"
"ASIC022081";"ASIS017961";"ASIC022081"
"ASIC022082";"ASIS017961";"ASIC022082"
"ASIC022095";"ASIS016651";"ASIC022095"
"ASIC022096";"ASIS004041";"ASIC022096"
"ASIC022097";"ASIS021067";"ASIC022097"
"ASIC022101";"ASIS008698";"ASIC022101"
"ASIC022104";"ASIS023260";"ASIC022104"
"ASIC022105";"ASIS003291";"ASIC022105"
"ASIC0221071";"ASIS005478";"ASIC022107"
"ASIC0221072";"ASIS007120";"ASIC022107"
"ASIC022108";"ASIS005478";"ASIC022108"
"ASIC022111";"ASIS006129";"ASIC022111"
"ASIC022112";"ASIS001344";"ASIC022112"
"ASIC022115";"ASIS023116";"ASIC022115"
"ASIC022124";"ASIS022829";"ASIC022124"
"ASIC022133";"ASIS017253";"ASIC022133"
"ASIC022146";"ASIS021579";"ASIC022146"
"ASIC0221501";"ASIS011681";"ASIC022150"
"ASIC0221502";"ASIS015762";"ASIC022150"
"ASIC022020";"ASIS021097";"ASIC022020"
"ASIC022024";"ASIS020013";"ASIC022024"
"ASIC022028";"ASIS010494";"ASIC022028"
"ASIC022039";"ASIS013794";"ASIC022039"
"ASIC025315";"ASIS023904";"ASIC025315"
"ASIC017555";"ASIS004531";"ASIC017555"
"ASIC017666";"ASIS019288";"ASIC017666"
"ASIC017682";"ASIS022472";"ASIC017682"
"ASIC017693";"ASIS014547";"ASIC017693"
"ASIC017704";"ASIS006356";"ASIC017704"
"ASIC017715";"ASIS001573";"ASIC017715"
"ASIC0177261";"ASIS001573";"ASIC017726"
"ASIC0177262";"ASIS013878";"ASIC017726"
"ASIC0177263";"ASIS021831";"ASIC017726"
"ASIC017748";"ASIS011840";"ASIC017748"
"ASIC017567";"ASIS010156";"ASIC017567"
"ASIC017578";"ASIS010156";"ASIC017578"
"ASIC017600";"ASIS009762";"ASIC017600"
"ASIC017611";"ASIS005755";"ASIC017611"
"ASIC017622";"ASIS006844";"ASIC017622"
"ASIC017644";"ASIS013773";"ASIC017644"
"ASIC017673";"ASIS012372";"ASIC017673"
"ASIC017674";"ASIS015873";"ASIC017674"
"ASIC0176751";"ASIS020334";"ASIC017675"
"ASIC0176752";"ASIS022721";"ASIC017675"
"ASIC017676";"ASIS019117";"ASIC017676"
"ASIC0176921";"ASIS003133";"ASIC017692"
"ASIC0176922";"ASIS004475";"ASIC017692"
"ASIC017708";"ASIS015466";"ASIC017708"
"ASIC017714";"ASIS010295";"ASIC017714"
"ASIC0177161";"ASIS010295";"ASIC017716"
"ASIC0177162";"ASIS019283";"ASIC017716"
"ASIC017717";"ASIS019283";"ASIC017717"
"ASIC017718";"ASIS020232";"ASIC017718"
"ASIC017719";"ASIS012541";"ASIC017719"
"ASIC017720";"ASIS002726";"ASIC017720"
"ASIC017721";"ASIS002726";"ASIC017721"
"ASIC017722";"ASIS002726";"ASIC017722"
"ASIC017723";"ASIS002726";"ASIC017723"
"ASIC017734";"ASIS002234";"ASIC017734"
"ASIC017735";"ASIS002858";"ASIC017735"
"ASIC0177411";"ASIS006966";"ASIC017741"
"ASIC0177412";"ASIS023469";"ASIC017741"
"ASIC017747";"ASIS007585";"ASIC017747"
"ASIC0177491";"ASIS001696";"ASIC017749"
"ASIC0177492";"ASIS005553";"ASIC017749"
"ASIC0177501";"ASIS001696";"ASIC017750"
"ASIC0177502";"ASIS005553";"ASIC017750"
"ASIC017752";"ASIS014787";"ASIC017752"
"ASIC0177531";"ASIS007490";"ASIC017753"
"ASIC0177532";"ASIS011667";"ASIC017753"
"ASIC017755";"ASIS007027";"ASIC017755"
"ASIC017757";"ASIS010421";"ASIC017757"
"ASIC025374";"ASIS024260";"ASIC025374"
"ASIC025165";"ASIS024105";"ASIC025165"
"ASIC017563";"ASIS009230";"ASIC017563"
"ASIC017564";"ASIS012043";"ASIC017564"
"ASIC017565";"ASIS011693";"ASIC017565"
"ASIC017566";"ASIS000800";"ASIC017566"
"ASIC017568";"ASIS011619";"ASIC017568"
"ASIC0175691";"ASIS000162";"ASIC017569"
"ASIC0175692";"ASIS021191";"ASIC017569"
"ASIC017570";"ASIS021191";"ASIC017570"
"ASIC017571";"ASIS012878";"ASIC017571"
"ASIC017572";"ASIS020014";"ASIC017572"
"ASIC025248";"ASIS024252";"ASIC025248"
"ASIC017577";"ASIS012527";"ASIC017577"
"ASIC017579";"ASIS004615";"ASIC017579"
"ASIC017581";"ASIS013991";"ASIC017581"
"ASIC017582";"ASIS016650";"ASIC017582"
"ASIC017583";"ASIS009743";"ASIC017583"
"ASIC017585";"ASIS013024";"ASIC017585"
"ASIC025343";"ASIS023862";"ASIC025343"
"ASIC017612";"ASIS010002";"ASIC017612"
"ASIC017616";"ASIS000461";"ASIC017616"
"ASIC017617";"ASIS022319";"ASIC017617"
"ASIC017618";"ASIS006389";"ASIC017618"
"ASIC017619";"ASIS007885";"ASIC017619"
"ASIC017626";"ASIS010137";"ASIC017626"
"ASIC0176281";"ASIS009714";"ASIC017628"
"ASIC0176282";"ASIS022890";"ASIC017628"
"ASIC017630";"ASIS015725";"ASIC017630"
"ASIC017634";"ASIS003939";"ASIC017634"
"ASIC017636";"ASIS005818";"ASIC017636"
"ASIC017638";"ASIS014284";"ASIC017638"
"ASIC017642";"ASIS013742";"ASIC017642"
"ASIC017648";"ASIS011058";"ASIC017648"
"ASIC017649";"ASIS021169";"ASIC017649"
"ASIC017651";"ASIS016388";"ASIC017651"
"ASIC017653";"ASIS011753";"ASIC017653"
"ASIC0176541";"ASIS011753";"ASIC017654"
"ASIC0176542";"ASIS017811";"ASIC017654"
"ASIC017656";"ASIS004651";"ASIC017656"
"ASIC017661";"ASIS022010";"ASIC017661"
"ASIC017662";"ASIS012821";"ASIC017662"
"ASIC017663";"ASIS021985";"ASIC017663"
"ASIC017664";"ASIS006862";"ASIC017664"
"ASIC0176651";"ASIS002047";"ASIC017665"
"ASIC0176652";"ASIS005654";"ASIC017665"
"ASIC017668";"ASIS018508";"ASIC017668"
"ASIC017669";"ASIS008991";"ASIC017669"
"ASIC017671";"ASIS001544";"ASIC017671"
"ASIC025211";"ASIS023857";"ASIC025211"
"ASIC017672";"ASIS013065";"ASIC017672"
"ASIC015754";"ASIS015166";"ASIC015754"
"ASIC0158101";"ASIS014885";"ASIC015810"
"ASIC0158102";"ASIS022582";"ASIC015810"
"ASIC0157551";"ASIS011100";"ASIC015755"
"ASIC0157552";"ASIS014894";"ASIC015755"
"ASIC015766";"ASIS014894";"ASIC015766"
"ASIC015786";"ASIS016622";"ASIC015786"
"ASIC015787";"ASIS012347";"ASIC015787"
"ASIC0157891";"ASIS009175";"ASIC015789"
"ASIC0157892";"ASIS012347";"ASIC015789"
"ASIC015790";"ASIS019636";"ASIC015790"
"ASIC0157911";"ASIS011402";"ASIC015791"
"ASIC0157912";"ASIS018108";"ASIC015791"
"ASIC015794";"ASIS023690";"ASIC015794"
"ASIC015795";"ASIS009662";"ASIC015795"
"ASIC0157961";"ASIS001588";"ASIC015796"
"ASIC0157962";"ASIS009662";"ASIC015796"
"ASIC015797";"ASIS021698";"ASIC015797"
"ASIC015815";"ASIS003563";"ASIC015815"
"ASIC015819";"ASIS010969";"ASIC015819"
"ASIC015837";"ASIS019282";"ASIC015837"
"ASIC015839";"ASIS007009";"ASIC015839"
"ASIC015847";"ASIS007532";"ASIC015847"
"ASIC015848";"ASIS021130";"ASIC015848"
"ASIC015850";"ASIS004069";"ASIC015850"
"ASIC015851";"ASIS001861";"ASIC015851"
"ASIC015852";"ASIS001861";"ASIC015852"
"ASIC015858";"ASIS008888";"ASIC015858"
"ASIC015859";"ASIS008888";"ASIC015859"
"ASIC015860";"ASIS007808";"ASIC015860"
"ASIC015862";"ASIS014108";"ASIC015862"
"ASIC015863";"ASIS016149";"ASIC015863"
"ASIC025143";"ASIS024074";"ASIC025143"
"ASIC015872";"ASIS001373";"ASIC015872"
"ASIC015873";"ASIS005888";"ASIC015873"
"ASIC015874";"ASIS008261";"ASIC015874"
"ASIC015756";"ASIS018008";"ASIC015756"
"ASIC015757";"ASIS010738";"ASIC015757"
"ASIC0157581";"ASIS016428";"ASIC015758"
"ASIC0157582";"ASIS020244";"ASIC015758"
"ASIC0251731";"ASIS023808";"ASIC025173"
"ASIC0251732";"ASIS024278";"ASIC025173"
"ASIC0250041";"ASIS023808";"ASIC025004"
"ASIC0250042";"ASIS024278";"ASIC025004"
"ASIC0157611";"ASIS002216";"ASIC015761"
"ASIC0157612";"ASIS013473";"ASIC015761"
"ASIC015762";"ASIS016960";"ASIC015762"
"ASIC0157631";"ASIS003136";"ASIC015763"
"ASIC0157632";"ASIS016960";"ASIC015763"
"ASIC0157641";"ASIS003136";"ASIC015764"
"ASIC0157642";"ASIS016960";"ASIC015764"
"ASIC015765";"ASIS016960";"ASIC015765"
"ASIC0157671";"ASIS004828";"ASIC015767"
"ASIC0157672";"ASIS007822";"ASIC015767"
"ASIC015768";"ASIS023021";"ASIC015768"
"ASIC015769";"ASIS023021";"ASIC015769"
"ASIC0157701";"ASIS015503";"ASIC015770"
"ASIC0157702";"ASIS023021";"ASIC015770"
"ASIC015772";"ASIS007199";"ASIC015772"
"ASIC015774";"ASIS009280";"ASIC015774"
"ASIC015775";"ASIS015094";"ASIC015775"
"ASIC015776";"ASIS017081";"ASIC015776"
"ASIC015778";"ASIS021700";"ASIC015778"
"ASIC015779";"ASIS014773";"ASIC015779"
"ASIC008513";"ASIS007386";"ASIC008513"
"ASIC008618";"ASIS008601";"ASIC008618"
"ASIC008629";"ASIS020008";"ASIC008629"
"ASIC008640";"ASIS000072";"ASIC008640"
"ASIC008651";"ASIS011511";"ASIC008651"
"ASIC008662";"ASIS011511";"ASIC008662"
"ASIC008673";"ASIS002261";"ASIC008673"
"ASIC008547";"ASIS002816";"ASIC008547"
"ASIC0085581";"ASIS004345";"ASIC008558"
"ASIC0085582";"ASIS021281";"ASIC008558"
"ASIC008569";"ASIS004345";"ASIC008569"
"ASIC008580";"ASIS004345";"ASIC008580"
"ASIC008591";"ASIS004096";"ASIC008591"
"ASIC008594";"ASIS011664";"ASIC008594"
"ASIC008595";"ASIS010121";"ASIC008595"
"ASIC008597";"ASIS017861";"ASIC008597"
"ASIC008598";"ASIS012195";"ASIC008598"
"ASIC008599";"ASIS019444";"ASIC008599"
"ASIC008601";"ASIS022226";"ASIC008601"
"ASIC008610";"ASIS004359";"ASIC008610"
"ASIC008613";"ASIS007652";"ASIC008613"
"ASIC008615";"ASIS010492";"ASIC008615"
"ASIC008623";"ASIS018301";"ASIC008623"
"ASIC008624";"ASIS000296";"ASIC008624"
"ASIC008625";"ASIS002855";"ASIC008625"
"ASIC0086281";"ASIS006853";"ASIC008628"
"ASIC0086282";"ASIS007925";"ASIC008628"
"ASIC008630";"ASIS005849";"ASIC008630"
"ASIC008631";"ASIS001422";"ASIC008631"
"ASIC008632";"ASIS005528";"ASIC008632"
"ASIC008645";"ASIS002214";"ASIC008645"
"ASIC008653";"ASIS018443";"ASIC008653"
"ASIC008656";"ASIS023035";"ASIC008656"
"ASIC008657";"ASIS012678";"ASIC008657"
"ASIC008658";"ASIS007543";"ASIC008658"
"ASIC008660";"ASIS009725";"ASIC008660"
"ASIC0086671";"ASIS009633";"ASIC008667"
"ASIC0086672";"ASIS018704";"ASIC008667"
"ASIC008668";"ASIS016961";"ASIC008668"
"ASIC008670";"ASIS017745";"ASIC008670"
"ASIC008671";"ASIS019064";"ASIC008671"
"ASIC008515";"ASIS007673";"ASIC008515"
"ASIC008517";"ASIS007673";"ASIC008517"
"ASIC008530";"ASIS019044";"ASIC008530"
"ASIC008531";"ASIS019044";"ASIC008531"
"ASIC0085381";"ASIS004595";"ASIC008538"
"ASIC0085382";"ASIS006469";"ASIC008538"
"ASIC008543";"ASIS004335";"ASIC008543"
"ASIC008544";"ASIS003616";"ASIC008544"
"ASIC008549";"ASIS017808";"ASIC008549"
"ASIC008550";"ASIS015111";"ASIC008550"
"ASIC008551";"ASIS016997";"ASIC008551"
"ASIC008554";"ASIS022291";"ASIC008554"
"ASIC008576";"ASIS015530";"ASIC008576"
"ASIC008581";"ASIS020203";"ASIC008581"
"ASIC008582";"ASIS013307";"ASIC008582"
"ASIC0085831";"ASIS000635";"ASIC008583"
"ASIC0085832";"ASIS015676";"ASIC008583"
"ASIC0085841";"ASIS000635";"ASIC008584"
"ASIC0085842";"ASIS015676";"ASIC008584"
"ASIC008585";"ASIS012037";"ASIC008585"
"ASIC008586";"ASIS008239";"ASIC008586"
"ASIC008587";"ASIS015639";"ASIC008587"
"ASIC008589";"ASIS003494";"ASIC008589"
"ASIC008592";"ASIS010833";"ASIC008592"
"ASIC0135681";"ASIS003056";"ASIC013568"
"ASIC0135682";"ASIS003192";"ASIC013568"
"ASIC0135791";"ASIS003056";"ASIC013579"
"ASIC0135792";"ASIS009266";"ASIC013579"
"ASIC013590";"ASIS012252";"ASIC013590"
"ASIC013612";"ASIS002353";"ASIC013612"
"ASIC013623";"ASIS021551";"ASIC013623"
"ASIC0136341";"ASIS001488";"ASIC013634"
"ASIC0136342";"ASIS017276";"ASIC013634"
"ASIC013506";"ASIS001488";"ASIC013506"
"ASIC013517";"ASIS003586";"ASIC013517"
"ASIC0135281";"ASIS006819";"ASIC013528"
"ASIC0135282";"ASIS007137";"ASIC013528"
"ASIC0135391";"ASIS006819";"ASIC013539"
"ASIC0135392";"ASIS007137";"ASIC013539"
"ASIC0135501";"ASIS006819";"ASIC013550"
"ASIC0135502";"ASIS007137";"ASIC013550"
"ASIC0135541";"ASIS003901";"ASIC013554"
"ASIC0135542";"ASIS004505";"ASIC013554"
"ASIC013555";"ASIS019256";"ASIC013555"
"ASIC025308";"ASIS024097";"ASIC025308"
"ASIC013559";"ASIS022008";"ASIC013559"
"ASIC013560";"ASIS022008";"ASIC013560"
"ASIC013561";"ASIS022008";"ASIC013561"
"ASIC013562";"ASIS022008";"ASIC013562"
"ASIC013565";"ASIS022459";"ASIC013565"
"ASIC013566";"ASIS021282";"ASIC013566"
"ASIC013567";"ASIS020134";"ASIC013567"
"ASIC013573";"ASIS016196";"ASIC013573"
"ASIC013574";"ASIS004269";"ASIC013574"
"ASIC0135751";"ASIS012399";"ASIC013575"
"ASIC0135752";"ASIS018474";"ASIC013575"
"ASIC013576";"ASIS017730";"ASIC013576"
"ASIC0135781";"ASIS003936";"ASIC013578"
"ASIC0135782";"ASIS007667";"ASIC013578"
"ASIC013580";"ASIS007667";"ASIC013580"
"ASIC013581";"ASIS022627";"ASIC013581"
"ASIC0135841";"ASIS006699";"ASIC013584"
"ASIC0135842";"ASIS011420";"ASIC013584"
"ASIC0135843";"ASIS012581";"ASIC013584"
"ASIC0135844";"ASIS020327";"ASIC013584"
"ASIC013589";"ASIS004443";"ASIC013589"
"ASIC013595";"ASIS017145";"ASIC013595"
"ASIC013596";"ASIS002432";"ASIC013596"
"ASIC013597";"ASIS002432";"ASIC013597"
"ASIC013598";"ASIS023124";"ASIC013598"
"ASIC013599";"ASIS005354";"ASIC013599"
"ASIC013606";"ASIS010829";"ASIC013606"
"ASIC013607";"ASIS008094";"ASIC013607"
"ASIC013608";"ASIS008094";"ASIC013608"
"ASIC0136091";"ASIS020943";"ASIC013609"
"ASIC0136092";"ASIS021623";"ASIC013609"
"ASIC013610";"ASIS021623";"ASIC013610"
"ASIC013611";"ASIS006727";"ASIC013611"
"ASIC0136131";"ASIS006727";"ASIC013613"
"ASIC0136132";"ASIS011500";"ASIC013613"
"ASIC0136141";"ASIS005317";"ASIC013614"
"ASIC0136142";"ASIS007379";"ASIC013614"
"ASIC013615";"ASIS005317";"ASIC013615"
"ASIC013616";"ASIS013098";"ASIC013616"
"ASIC013617";"ASIS018657";"ASIC013617"
"ASIC013618";"ASIS014910";"ASIC013618"
"ASIC0136191";"ASIS000823";"ASIC013619"
"ASIC0136192";"ASIS014910";"ASIC013619"
"ASIC013620";"ASIS010187";"ASIC013620"
"ASIC013622";"ASIS000636";"ASIC013622"
"ASIC013627";"ASIS000588";"ASIC013627"
"ASIC013628";"ASIS015926";"ASIC013628"
"ASIC013629";"ASIS015926";"ASIC013629"
"ASIC013630";"ASIS017222";"ASIC013630"
"ASIC013631";"ASIS001619";"ASIC013631"
"ASIC013632";"ASIS005571";"ASIC013632"
"ASIC013643";"ASIS005872";"ASIC013643"
"ASIC013509";"ASIS007769";"ASIC013509"
"ASIC013515";"ASIS009142";"ASIC013515"
"ASIC013516";"ASIS006024";"ASIC013516"
"ASIC013519";"ASIS021434";"ASIC013519"
"ASIC013520";"ASIS021434";"ASIC013520"
"ASIC013522";"ASIS013854";"ASIC013522"
"ASIC013525";"ASIS000043";"ASIC013525"
"ASIC0135371";"ASIS013001";"ASIC013537"
"ASIC0135372";"ASIS022572";"ASIC013537"
"ASIC013538";"ASIS001239";"ASIC013538"
"ASIC013542";"ASIS010932";"ASIC013542"
"ASIC013543";"ASIS010932";"ASIC013543"
"ASIC0135441";"ASIS005633";"ASIC013544"
"ASIC0135442";"ASIS010932";"ASIC013544"
"ASIC013545";"ASIS013519";"ASIC013545"
"ASIC013547";"ASIS006770";"ASIC013547"
"ASIC013549";"ASIS010695";"ASIC013549"
"ASIC006929";"ASIS005879";"ASIC006929"
"ASIC006940";"ASIS009024";"ASIC006940"
"ASIC006951";"ASIS023706";"ASIC006951"
"ASIC006962";"ASIS018454";"ASIC006962"
"ASIC006973";"ASIS001916";"ASIC006973"
"ASIC006984";"ASIS015471";"ASIC006984"
"ASIC006848";"ASIS005502";"ASIC006848"
"ASIC0068591";"ASIS005502";"ASIC006859"
"ASIC0068592";"ASIS020494";"ASIC006859"
"ASIC006870";"ASIS020494";"ASIC006870"
"ASIC0069031";"ASIS009362";"ASIC006903"
"ASIC0069032";"ASIS011024";"ASIC006903"
"ASIC0069033";"ASIS012459";"ASIC006903"
"ASIC006914";"ASIS013638";"ASIC006914"
"ASIC006916";"ASIS002752";"ASIC006916"
"ASIC006927";"ASIS019302";"ASIC006927"
"ASIC006928";"ASIS017572";"ASIC006928"
"ASIC006930";"ASIS007656";"ASIC006930"
"ASIC0069311";"ASIS006808";"ASIC006931"
"ASIC0069312";"ASIS018686";"ASIC006931"
"ASIC0069313";"ASIS024143";"ASIC006931"
"ASIC0252851";"ASIS006808";"ASIC025285"
"ASIC0252852";"ASIS024143";"ASIC025285"
"ASIC006932";"ASIS018686";"ASIC006932"
"ASIC006933";"ASIS018686";"ASIC006933"
"ASIC006934";"ASIS001481";"ASIC006934"
"ASIC025059";"ASIS024013";"ASIC025059"
"ASIC006942";"ASIS012396";"ASIC006942"
"ASIC006943";"ASIS012546";"ASIC006943"
"ASIC025241";"ASIS023991";"ASIC025241"
"ASIC006945";"ASIS009287";"ASIC006945"
"ASIC006946";"ASIS017524";"ASIC006946"
"ASIC0069471";"ASIS009019";"ASIC006947"
"ASIC0069472";"ASIS019234";"ASIC006947"
"ASIC0069491";"ASIS014003";"ASIC006949"
"ASIC0069492";"ASIS018905";"ASIC006949"
"ASIC0069501";"ASIS021675";"ASIC006950"
"ASIC0069502";"ASIS023680";"ASIC006950"
"ASIC006952";"ASIS019504";"ASIC006952"
"ASIC006954";"ASIS016385";"ASIC006954"
"ASIC006955";"ASIS016385";"ASIC006955"
"ASIC006956";"ASIS016385";"ASIC006956"
"ASIC006957";"ASIS016385";"ASIC006957"
"ASIC006958";"ASIS016385";"ASIC006958"
"ASIC006959";"ASIS020927";"ASIC006959"
"ASIC006960";"ASIS014928";"ASIC006960"
"ASIC0069611";"ASIS004889";"ASIC006961"
"ASIC0069612";"ASIS009131";"ASIC006961"
"ASIC0069613";"ASIS023342";"ASIC006961"
"ASIC006963";"ASIS019648";"ASIC006963"
"ASIC006964";"ASIS000712";"ASIC006964"
"ASIC006965";"ASIS003687";"ASIC006965"
"ASIC006966";"ASIS009533";"ASIC006966"
"ASIC006967";"ASIS015802";"ASIC006967"
"ASIC006968";"ASIS008166";"ASIC006968"
"ASIC006969";"ASIS019879";"ASIC006969"
